"","...1","Species","Family","Relative.Growth.Rate","Mean.absolute.growth.rate","SD.growth.rate","SLA","LA","LDMC","LNC","LPC","WD","Height","Number.of.stems","Median.height","Category"
"80",80,"Myrsine coriacea","Primulaceae",0.24050574101381,3.1,3.8,112.638273,9.09576523799997,353.9161814,1.82,0.11,0.513594006,25,190,10.2,"Canopy"
"81",81,"Myrsine umbellata","Primulaceae",0.253420261014188,2,2.7,75.69306745,57.9729249999998,359.5875875,1.09,0.06,0.653702543317073,19,88,10,"Canopy"
"82",82,"Nectandra lanceolata","Lauraceae",0.423837771530892,3.7,3.4,89.14324999,36.4071913300002,453.255376,2.2,0.15,0.428167329727273,28,35,15,"Canopy"
"83",83,"Nectandra megapotamica","Lauraceae",0.486115501082476,4.1,4.1,103.4244241,10.57206111,437.7375326,2.06,0.12,0.449317097523809,27,325,10,"Canopy"
"84",84,"Nectandra membranacea","Lauraceae",0.215382636889472,1.4,0.9,83.85879691,34.82674333,421.4248751,1.88,0.14,0.422838402,21,10,12.5,"Canopy"
"85",85,"Nectandra oppositifolia","Lauraceae",0.215502032592089,4.1,4.2,59.95784849,58.6025580200002,485.7791984,1.32,0.09,0.565336291,22.1,21,12.5,"Canopy"
"86",86,"Ocotea diospyrifolia","Lauraceae",0.205579504837377,2.2,2.2,95.37411571,15.1987822800001,469.8257229,2.9,0.27,0.358973982,25,110,14,"Canopy"
"87",87,"Ocotea elegans","Lauraceae",0.209246824263942,3.2,5.2,88.98025793,11.64408444,459.5520197,2.9,0.1,0.494938074,16,12,12.2,"Canopy"
"88",88,"Ocotea porosa","Lauraceae",0.195941900535662,1.2,1.3,89.38179781,13.9372250000001,462.6590114,2.5,0.1,0.567039402,15,20,11.5,"Canopy"
"89",89,"Ocotea puberula","Lauraceae",0.309801716287554,3.5,4.1,98.44955513,15.66000238,413.0503889,3.04,0.2,0.423806244952381,32,66,15,"Canopy"
"90",90,"Ocotea pulchella","Lauraceae",0.29379174650061,2.5,2.6,84.39321897,8.35389948699999,490.5904557,1.7,0.14,0.536856434,25,228,10,"Canopy"
"91",91,"Oreopanax fulvus","Araliaceae",0.289158895991059,3.9,5.7,92.00481915,156.1906505,335.248888,1.6,0.13,0.52,12,17,7.5,"Understory"
"92",92,"Pera glabrata","Peraceae",0.214903393568308,2.6,4.6,68.19732147,13.97490333,385.3648657,1.87,0.1,0.708502124,24.3,179,10.5,"Canopy"
"93",93,"Pilocarpus pennatifolius","Rutaceae",0.253861767165566,1.1,1.1,87.58311779,32.7815871099999,386.1496324,2,0.11,0.816062844,18,44,6,"Understory"
"94",94,"Piptocarpha axillaris","Asteraceae",0.21909846540914,4.8,3.6,49.33846935,16.2595439200001,377.953029,1.52,0.1,0.362860462,21,14,12,"Canopy"
"95",95,"Podocarpus lambertii","Podocarpaceae",0.26919291222264,2.8,2.9,81.41128746,0.760158766,406.9767175,1.6,0.14,0.443214865380952,26,314,8.5,"Understory"
"96",96,"Psychotria nuda","Rubiaceae",0.211515550035356,1.5,2.7,228.1851579,36.0680166700001,201.0768035,2.46,0.12,0.405694684,17,81,5.3,"Understory"
"97",97,"Psychotria suterella","Rubiaceae",0.197193438247894,1.1,1.3,256.4668365,16.4344463,221.9400207,1.75,0.09,0.380007159,10,40,5,"Understory"
"98",98,"Quiina glaziovii","Quiinaceae",0.198458530973303,1,0.8,121.7130538,205.0283,418.6061791,1.7,0.08,0.861525,21.5,11,13.3,"Canopy"
"99",99,"Quillaja brasiliensis","Quillajaceae",0.234470178100343,4.4,3.7,76.01594644,9.10220317500003,393.3170607,1.5,0.13,0.536153726,24,10,14,"Canopy"
"100",100,"Roupala montana","Proteaceae",0.240840395564446,1.7,1.7,51.56853215,39.50282222,497.312188,2.8,0.05,0.783333333,18.5,29,10,"Canopy"
